,product,review_rating,review_text,word_count,Text,neg,neu,pos,compound,Sentiment
10,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,yeapreordered 28 july got 4 august package nice without damage so first impression,23,yeapreordered 28 july got 4 august package nice without damage so first impression,0.0,0.568,0.432,0.7654,Positive
11,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,got delivered yesterday used 56 hours tell first mid ranger previously i using s9 plus s7 edge iphones stone age,39,got delivered yesterday used 56 hour tell first mid ranger previously using s9 plus s7 edge iphones stone age,0.0,1.0,0.0,0.0,Positive
12,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,an amazing phone,5,an amazing,0.0,0.208,0.792,0.5859,Positive
13,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,brilliant,3,brilliant,0.0,0.0,1.0,0.5859,Positive
14,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,i skeptical changing one plus 6t nord 845 still processing power 765 5g wont available india next 2 years nord gorilla glass 5 whereas op6t gorilla glass 6,44,skeptical changing plus 6t nord 845 still processing power 765 5g wont available india next 2 year nord gorilla glass 5 whereas op6t gorilla glass 6,0.084,0.916,0.0,-0.3182,Negative
15,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,where call recording option,7,where call recording option,0.0,1.0,0.0,0.0,Positive
16,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,so i pre ordered phone 28th july i got 3rd august thank amazon faster delivery,26,so pre ordered 28th july got 3rd august thank amazon faster delivery,0.0,0.704,0.296,0.4939,Positive
17,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,hey guys wont go specs details reading read specs i got 2nd august 24 hours use say decision wait worth,45,hey guy wont go spec detail reading read spec got 2nd august 24 hour use say decision wait worth,0.0,0.905,0.095,0.2263,Positive
18,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,in love camera quality color phone works smoothly impressed,17,in love color work smoothly impressed,0.0,0.354,0.646,0.8074,Positive
19,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,i always want oneplus mobile i one good mobile,16,always want mobile mobile,0.0,0.698,0.302,0.0772,Positive
20,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,first things first im impressed amazon delivery services,13,first thing first im impressed amazon delivery service,0.0,0.556,0.444,0.5859,Positive
21,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,it big jump budget phone one plus nord i skeptical buying high price phone without discount i bought amzon preorder period gifted wife 8128 inr 27999 but i open pack i felt relived build quality superb feels solid photo quality plus plusi took photos dark crisp clear colours photos looks natural attractive,89,it big jump budget plus nord skeptical buying high price without discount bought amzon preorder period gifted wife 8128 inr 27999 but open pack felt relived build superb feel solid photo plus plusi took photo dark crisp clear colour photo look natural attractive,0.029,0.653,0.318,0.9545,Positive
22,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,its delivered today 3rd august,7,it delivered today 3rd august,0.0,1.0,0.0,0.0,Positive
23,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,just received oneplus nord grey 256 gb variant trust guys amazingworth every rupees,20,just received nord grey 256 gb variant trust guy amazingworth every rupee,0.0,0.69,0.31,0.5423,Positive
24,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,so i suppose im first one receive beast amazon arrived damn early expected,20,so suppose im first receive beast amazon arrived damn early expected,0.201,0.672,0.127,-0.25,Negative
25,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,firstly lot reviews towards camera course flagship price youre paying well worth balanced experienceyou cant expect flagship levelsif want buy specific phone catered like rog gamingetc,52,firstly lot review towards course flagship price youre paying well worth balanced experienceyou cant expect flagship levelsif want buy specific catered like rog gamingetc,0.045,0.632,0.323,0.7099,Positive
26,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,perfect mobile everyone,5,perfect mobile everyone,0.0,0.351,0.649,0.5719,Positive
27,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,writing review months usage phone works really fine lag,19,writing review month usage work really fine lag,0.249,0.557,0.194,-0.1494,Negative
28,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,first let clarify nord disturbing tinge issues hyped media a slight purple color appears use dark lowest brightness looks good instead disturbing and i pretty certain i using setting ever,57,first let clarify nord disturbing tinge issue hyped medium a slight purple color appears use dark lowest brightness look instead disturbing and pretty certain using setting ever,0.241,0.551,0.207,-0.3182,Negative
29,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,good phone best camera many modes getting phone got update warp charging fast enough display highlight front camera soo good okay quality got delivered today whole best buy mobile reasonable rate got 12gb variant fast,65,many mode getting got update warp charging fast enough display highlight front soo okay got delivered today whole buy mobile reasonable rate got 12gb variant fast,0.0,0.848,0.152,0.5106,Positive
30,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,first confused review youtubers but say best phone segment oneplus oxygen os dam smooth simple clean ui camera works excellent dont go hype blue marble look like realme types grey color looks like flagship oneplus 50 minutes full charging pubg working good ping also decent playing,70,first confused review youtubers but say segment oxygen o dam smooth simple clean ui work excellent dont go hype blue marble look like realme type grey color look like flagship 50 minute full charging pubg working ping also decent playing,0.031,0.594,0.375,0.9555,Positive
31,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,i like phone much it smooth good audio video i missed one thing audio jack today day one update review 12 weeks,36,like much it smooth audio video missed thing audio jack today day update review 12 week,0.118,0.749,0.134,0.0772,Positive
32,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,oneplus nord get 1st,7,nord get 1st,0.0,1.0,0.0,0.0,Positive
33,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,my nord journey amazon,7,my nord journey amazon,0.0,0.638,0.362,0.1779,Positive
34,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,watching my one plus nord,8,watching my plus nord,0.0,1.0,0.0,0.0,Positive
35,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,well lets talk features performance phone first i pre ordered phone first oneplus device i using best thing i like phone oxygenos buttery smooth lag i testing device since 1 week overall performance phone good processor bit less like expect flagship processor like snapdragon 855 terms pricing choose 765g 5g ready future proof lets talk camera quality well i testing camera lit trust colors pixels bright good like daylight pictures fabulous for gaming i dont find lag issues heating issues and 1080p recording smooth stable i tested stability video superb lets talk display amoled display awesome 90hz screen refresh rate makes everything buttery terms scrolling and haptic feedback also great typing lets talk cons could go snapdragon 855 plastic frame doesnt make phone premium headphone jack,226,well let talk feature performance first pre ordered first device using thing like oxygenos buttery smooth lag testing device since 1 week overall performance processor bit le like expect flagship processor like snapdragon 855 term pricing choose 765g 5g ready future proof let talk well testing lit trust color pixel bright like daylight picture fabulous for gaming dont find lag issue heating issue and 1080p recording smooth stable tested stability video superb let talk display amoled display awesome 90hz screen refresh rate make everything buttery term scrolling and haptic feedback also great typing let talk con could go snapdragon 855 plastic frame doesnt make premium headphone jack,0.018,0.659,0.324,0.9897,Positive
36,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,after using several daysi noticed issues,11,after using several daysi noticed issue,0.0,1.0,0.0,0.0,Positive
37,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,after reading reviews i think people looking flagship phone 2830k price tag for ive upgrading phone almost every couple years flagship flagship i got nord 6t theres huge difference phones ill mention pros cons,63,after reading review think people looking flagship 2830k price tag for ive upgrading almost every couple year flagship flagship got nord 6t there huge difference phone ill mention pro con,0.082,0.729,0.19,0.1779,Positive
38,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,reviews using phone 23 days,9,review using 23 day,0.0,1.0,0.0,0.0,Positive
39,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,loved device what oneplus said delivered snappy feels fast,15,loved device what said delivered snappy feel fast,0.0,0.642,0.358,0.5994,Positive
40,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,a descent mobilefeels premiumawesome display 90 hrz referesh rate fingure scanner lightening fast front camera clarity amazing however back camera needs software improvement especially low light photography portrait mode fast charging takes approximately 35 minutes 0 100 design could better camera module centre square shape camera module top leftbetter discharge fasteroverall good mobile phone,69,a descent mobilefeels premiumawesome display 90 hrz referesh rate fingure scanner lightening fast front clarity amazing however back need software improvement especially low light photography portrait mode fast charging take approximately 35 minute 0 100 design could better module centre square shape module top leftbetter discharge fasteroverall mobile,0.041,0.717,0.242,0.8958,Positive
41,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,i ordered oneplus nord 12gb ram 256gb rom 6th august morning reached 10th august,22,ordered nord 12gb ram 256gb rom 6th august morning reached 10th august,0.0,0.887,0.113,0.1027,Positive
42,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,there relationship quite like one dad,15,there relationship quite like dad,0.0,0.589,0.411,0.4201,Positive
43,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,really good looking phone feels premium hand exept sides made plastic,19,really looking feel premium hand exept side made plastic,0.0,0.714,0.286,0.4939,Positive
44,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,a lot people given expert opinions im gonna address things,20,a lot people given expert opinion im gonna address thing,0.0,1.0,0.0,0.0,Positive
45,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,ive following phone buy ever since started project hoping would good,20,ive following buy ever since started project hoping would,0.0,0.741,0.259,0.4215,Positive
46,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,the look feel good phone compact handy also felt light weight i previously using asus 5z vivo z1x,29,the look feel compact handy also felt light weight previously using asus 5z vivo z1x,0.0,1.0,0.0,0.0,Positive
47,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,one best segment dont get distracted screen tinting issue its yhe amoled property nothing quality product wont hamper day day usage youll barely notice unless want see despite mono speakey sound much louder and 90hz refresh rate oxygen os total bliss android give heavenly experience the battery draining little quick i think 90hz maybe battery optimization done future ota updates about cameras macto depth cameras useless one youll use otherwise good,128,segment dont get distracted screen tinting issue it yhe amoled property nothing wont hamper day day usage youll barely notice unless want see despite mono speakey sound much louder and 90hz refresh rate oxygen o total bliss android give heavenly experience the draining little quick think 90hz maybe optimization done future ota update about camera macto depth camera useless youll use otherwise,0.039,0.773,0.189,0.871,Positive
48,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,super phone time rang all onein oneplus nord,14,super time rang all onein nord,0.0,0.562,0.438,0.5994,Positive
49,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,received product today cents,9,received today cent,0.0,1.0,0.0,0.0,Positive
50,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,loved size weight phone the metallic finish slim body makes feel top world budget phone packed multiple features shall exploring go the back cover quite decent okay important fact waterproof protection charging point best part usability aspect above picture quality natural importantly like iphone without additional filters takes away charm other paacked multiple camera features thatll blow mind,110,loved size weight the metallic finish slim body make feel top world budget packed multiple feature shall exploring go the back cover quite decent okay important fact waterproof protection charging point part usability aspect above picture natural importantly like iphone without additional filter take away charm other paacked multiple feature thatll blow mind,0.0,0.693,0.307,0.9512,Positive
51,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,okay so firstly horrible delivery amazon india i placed order 30th july it got shipped 12th august delivered 16th this review completely unbiased come user used vivo v15 pro beforehand,46,okay so firstly horrible delivery amazon india placed order 30th july it got shipped 12th august delivered 16th this review completely unbiased come user used vivo v15 pro beforehand,0.153,0.74,0.107,-0.376,Negative
52,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,chennai தமழநட india,5,chennai தமழநட india,0.0,1.0,0.0,0.0,Positive
53,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,i personally feel good product range the battery lasts almost two days average usage no gaming involved camera quality good unless want go zoom till last pixel not sure want inbuilt camera software tries enhance image fails only case full image zoom else image quality great range sound quality good overall good product daily use everyone,97,personally feel range the last almost two day average usage no gaming involved unless want go zoom till last pixel not sure want inbuilt software try enhance image fails only case full image zoom else image great range sound overall daily use everyone,0.162,0.731,0.107,-0.1984,Negative
54,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,best phone 30k its common sense price one plus would provide features one plus 8 some youtubers also speak irrelevant things phone they blindly phone but per opinion great deal till phone market india one considers aspects phone,64,30k it common sense price plus would provide feature plus 8 some youtubers also speak irrelevant thing they blindly but per opinion great deal till market india considers aspect,0.0,0.832,0.168,0.7684,Positive
55,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,search compare compare compare competitors nord stand always you need understand upper midrange flagship complete premium phone unless rahul gandhi able understand cannot expect complete premium experience nord gets close possible terms features build display aftersales support so without thinking twice go ahead i part 1 community almost 7 years i definitely say tight budget cannot afford oneplus 88pro this is the one you have been waiting for always,120,search compare compare compare competitor nord stand always you need understand upper midrange flagship complete premium unless rahul gandhi able understand cannot expect complete premium experience nord get close possible term feature build display aftersales support so without thinking twice go ahead part 1 community almost 7 year definitely say tight budget cannot afford 88pro this is the you have been waiting for always,0.0,0.903,0.097,0.6743,Positive
56,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,nice phone camera also good oxgen os display main usp phone pubg gameplay good supports smooth ultra fps thats con ultra graphics u got 95 time 40 fps lock good and oneplus said talking tencent extreme graphics hopefully waiting,63,nice also oxgen o display main usp pubg gameplay support smooth ultra fps thats con ultra graphic u got 95 time 40 fps lock and said talking tencent extreme graphic hopefully waiting,0.0,0.774,0.226,0.8166,Positive
57,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,i got toy yesterday placing pre order 28th julyi expecting powerful battery life camera quality not mark okay okay manage mid range gadget,39,got toy yesterday placing pre order 28th julyi expecting powerful life not mark okay okay manage mid range gadget,0.151,0.723,0.127,0.12,Positive
58,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,everything fantastic price point best phone brand oneplus needs introduction,22,everything fantastic price point brand need introduction,0.0,0.625,0.375,0.5574,Positive
59,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,its best productoneplus brand andnord new directioncamera quality better good 8and battery life quite good charges 40 min 0 100it gaves best performanceand 90hrtz refresh rate best butif u used 60htz refresh rate phone u see definitely difference face unlock fast fingerprint scanner goodand amoled display best u must need productand new direction comes life i happy get,98,it productoneplus brand andnord new directioncamera better 8and life quite charge 40 min 0 100it gaves performanceand 90hrtz refresh rate butif u used 60htz refresh rate u see definitely difference face unlock fast fingerprint scanner goodand amoled display u must need productand new direction come life happy get,0.0,0.829,0.171,0.8519,Positive
60,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,the moment unbox device feel high tier device one cannot easily find made plastic gorilla glass 5 protection the device sleek looks premium like slight gradient back the camera bump quite pronounced definitely requires casing prevent smudges issues,67,the moment unbox device feel high tier device cannot easily find made plastic gorilla glass 5 protection the device sleek look premium like slight gradient back the bump quite pronounced definitely requires casing prevent smudge issue,0.05,0.788,0.162,0.5488,Positive
61,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,its nearly month nord opinion theres issues fingerprint face unlock fast phone smooth even 60hz refresh rate really good battery life excellent smooth gaming performances till screen recording great coming oxygen os super user friendly youll never need external application software feel satisfied cause oxygen os one best market camera performance awesome primary sensor gives much detailed saturated images wide angle lens front back camera incredible major blow would macro sensor opinion cause colours much softer want take best pictures better buy basic dslr overall performance camera pretty great phone slippery without case better use fast charging really saves lot time alert slider usefull short looking smartphone mid range budget cool user experience nord best opinion expect high performance machine ready make sacrifices like oxygen osalert slider etc lot options choose wisely,236,it nearly month nord opinion there issue fingerprint face unlock fast smooth even 60hz refresh rate really life excellent smooth gaming performance till screen recording great coming oxygen o super user friendly youll never need external application software feel satisfied cause oxygen o market performance awesome primary sensor give much detailed saturated image wide angle lens front back incredible major blow would macro sensor opinion cause colour much softer want take picture better buy basic dslr overall performance pretty great slippery without case better use fast charging really save lot time alert slider usefull short looking smartphone mid range budget cool user experience nord opinion expect high performance machine ready make sacrifice like oxygen osalert slider etc lot option choose wisely,0.015,0.668,0.317,0.9927,Positive
62,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,for fingerprint sensor great job battery life could better lets wait next update major got dissapointed front camera though sony 32mp camera takes picture like 8mp camera 12mp camera didnt like much though camera user still 32mp sony camera could done miraculous job guess an coming backrear camera felt good still sony 48mp camera much better job i hope future updates may change camera performanceboth rear front lastly smoothness i loved way made incredible handy one thing lagging price hectic mid range still i loved except cameras battery life buy eye closed,164,for fingerprint sensor great job life could better let wait next update major got dissapointed front though sony 32mp take picture like 8mp 12mp didnt like much though user still 32mp sony could done miraculous job guess an coming backrear felt still sony 48mp much better job hope future update may change performanceboth rear front lastly smoothness loved way made incredible handy thing lagging price hectic mid range still loved except camera life buy eye closed,0.047,0.708,0.244,0.9619,Positive
63,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,i bought oneplus phone first time i bought12gb 256gb varient phone,17,bought first time bought12gb 256gb varient,0.0,1.0,0.0,0.0,Positive
64,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,all rumours like green tint display issue low light condition battery backup less takes time charge absolutely wrong,28,all rumour like green tint display issue low light condition backup le take time charge absolutely wrong,0.25,0.637,0.114,-0.4576,Negative
65,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,an awesome phone price simply great the camera bad described others review videos if planning buy phone budget upto 30k go no brand gives 12256 variant price the phone awesome you wont feel difference flagship processor one using,70,an awesome price simply great the bad described others review video if planning buy budget upto 30k go no brand give 12256 variant price the awesome you wont feel difference flagship processor using,0.151,0.583,0.266,0.8076,Positive
66,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,no tint issue,5,no tint issue,0.524,0.476,0.0,-0.296,Negative
67,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,i used week i tell best allround smartphone 30k you getting future ready 5g smartphone brand recognition one plus,39,used week tell allround smartphone 30k you getting future ready 5g smartphone brand recognition plus,0.0,0.848,0.152,0.3612,Positive
68,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,very worst phone dont buyiam facing network connection issueswhile talking going hold n recording starts automatically whatsapp call responding worst phone updates iam facing problems one month iam giving feedback dont buy phone waste money,54,very worst dont buyiam facing network connection issueswhile talking going hold n recording start automatically whatsapp call responding worst update iam facing problem month iam giving feedback dont buy waste money,0.267,0.62,0.113,-0.8157,Negative
69,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,1 i think one plus need reveiws,10,1 think plus need reveiws,0.0,1.0,0.0,0.0,Positive
70,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,first im writing review 34 days use 1,15,first im writing review 34 day use 1,0.0,1.0,0.0,0.0,Positive
71,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,thank oneplus amazon product delivery fast i first time using oneplus devicebut i love,22,thank amazon delivery fast first time using devicebut love,0.0,0.417,0.583,0.8126,Positive
72,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,speed 1010,4,speed 1010,0.0,1.0,0.0,0.0,Positive
73,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,premium looking phone clean smooth ui with regular faster updates op certainly best phone price range,27,premium looking clean smooth ui with regular faster update op certainly price range,0.0,0.683,0.317,0.6249,Positive
74,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,its first time one plus made undoubtedly price worthy smart phones i using one plus 6 since last 2 years thinking upgrade finally made decision buy finally made hunt new phone initially i searched reviews one plus nord people mixed reviews made purchase difficult i thought wether i go finally made mind bought i really happy totally vfm,95,it first time plus made undoubtedly price worthy smart phone using plus 6 since last 2 year thinking upgrade finally made decision buy finally made hunt new initially searched review plus nord people mixed review made purchase difficult thought wether go finally made mind bought really happy totally vfm,0.044,0.788,0.168,0.796,Positive
75,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,after using 3 years battery moto x4 suddenly stopped working ota update battery replacement possible lockdown time one plus announced release midrange smartphone like zlite one plus brand great customer satisfaction regarding oxygen os optimization hardware i decided purchase oneplus nord later declared preorder benefits blindly purchase rs 499 enjoyed ar launched event got preorder box1 tshirt stickersbooked nord rs 26k using amex card preorder delayed oneplus announced provide one year extra warrenty whose preorder shiioed 4aug mine shipped 10 aug delivered 11 aug also also provide box 2 rs4780 provide one year extra warrenty promised last faith oneplus regarding products offers totally worthyin way effective price nord 19620 28k 2k amex offer 4780 gift box 1599 one year extended warranty,177,after using 3 year moto x4 suddenly stopped working ota update replacement possible lockdown time plus announced release midrange smartphone like zlite plus brand great customer satisfaction regarding oxygen o optimization hardware decided purchase nord later declared preorder benefit blindly purchase r 499 enjoyed ar launched event got preorder box1 tshirt stickersbooked nord r 26k using amex card preorder delayed announced provide year extra warrenty whose preorder shiioed 4aug mine shipped 10 aug delivered 11 aug also also provide box 2 rs4780 provide year extra warrenty promised last faith regarding product offer totally worthyin way effective price nord 19620 28k 2k amex offer 4780 gift box 1599 year extended warranty,0.029,0.733,0.238,0.9791,Positive
76,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,read review buying oneplus nord,9,read review buying nord,0.0,1.0,0.0,0.0,Positive
77,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,i critic one plus users far realised one plus users mad phonestill i used motorola sony samsung phonesnever experienced smoothness speed like one plusbattery back absolutely good using 100 8 pm 9 done installing process video movie watching still 40 left absolutely stylish mobile blue colour damn attractivei gamer idea side everybody lot praising oshave experience feel smoothnessthe side mobile large cut front camera big one camera would enough also reduced beauty phonei switched samsung a51 used less 15 days compared samsung camera far aheadno colour tinting issueworried lot orderingone thing u r using case coming mobile ready bad smell casemy conclusion blindly go never regretvalue money,206,critic plus user far realised plus user mad phonestill used motorola sony samsung phonesnever experienced smoothness speed like plusbattery back absolutely using 100 8 pm 9 done installing process video movie watching still 40 left absolutely stylish mobile blue colour damn attractivei gamer idea side everybody lot praising oshave experience feel smoothnessthe side mobile large cut front big would enough also reduced beauty phonei switched samsung a51 used le 15 day compared samsung far aheadno colour tinting issueworried lot orderingone thing u r using case coming mobile ready bad smell casemy conclusion blindly go never regretvalue money,0.119,0.773,0.108,-0.0772,Negative
78,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,after one day usage i say good mid range phone,17,after day usage say mid range,0.0,1.0,0.0,0.0,Positive
79,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,i oneplus 3t i went nord i bought 3t 35k bought 12gb variant 30k i say huge upgrade,38,3t went nord bought 3t 35k bought 12gb variant 30k say huge upgrade,0.0,0.839,0.161,0.3182,Positive
80,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,i using phone since 1 week and findings,17,using since 1 week and finding,0.0,1.0,0.0,0.0,Positive
81,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,i got 12256 version 28k amex card best price i would say,20,got 12256 version 28k amex card price would say,0.0,1.0,0.0,0.0,Positive
82,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,really pretty much,7,really pretty much,0.0,0.364,0.636,0.5413,Positive
83,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,surely hype worth wait,13,surely hype worth wait,0.0,0.294,0.706,0.5859,Positive
84,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,the amoled display pretty bright amazing,10,the amoled display pretty bright amazing,0.0,0.233,0.767,0.872,Positive
85,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,overall 1 solid phone great camera,8,overall 1 solid great,0.0,0.26,0.74,0.6908,Positive
86,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,one plus come great product correct pricing this required,19,plus come great correct pricing this required,0.0,0.594,0.406,0.6249,Positive
87,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,it flagship want experience it really good midrange experience coming one better brands you certainly get value money brands however quality software support customer service oneplus better brands a must buy especially love oxygen os want reliable device use 23 years,75,it flagship want experience it really midrange experience coming better brand you certainly get value money brand however software support customer service better brand a must buy especially love oxygen o want reliable device use 23 year,0.0,0.562,0.438,0.9571,Positive
